model,threshold,sensitivity,specificity,precision,f1,balanced_accuracy,fp,fn
Logistic Regression,0.57,0.9529411764705882,0.9894736842105263,0.9818181818181818,0.9671641791044776,0.9712074303405572,3,8
Logistic Regression,0.58,0.9529411764705882,0.9894736842105263,0.9818181818181818,0.9671641791044776,0.9712074303405572,3,8
Logistic Regression,0.59,0.9529411764705882,0.9894736842105263,0.9818181818181818,0.9671641791044776,0.9712074303405572,3,8
Logistic Regression,0.6,0.9529411764705882,0.9894736842105263,0.9818181818181818,0.9671641791044776,0.9712074303405572,3,8
Logistic Regression,0.61,0.9529411764705882,0.9894736842105263,0.9818181818181818,0.9671641791044776,0.9712074303405572,3,8
Logistic Regression,0.62,0.9470588235294117,0.9894736842105263,0.9817073170731707,0.9640718562874252,0.968266253869969,3,9
Logistic Regression,0.63,0.9470588235294117,0.9894736842105263,0.9817073170731707,0.9640718562874252,0.968266253869969,3,9
Logistic Regression,0.64,0.9411764705882353,0.9894736842105263,0.9815950920245399,0.960960960960961,0.9653250773993808,3,10
Logistic Regression,0.65,0.9411764705882353,0.9929824561403509,0.9876543209876543,0.963855421686747,0.9670794633642931,2,10
Logistic Regression,0.66,0.9411764705882353,0.9929824561403509,0.9876543209876543,0.963855421686747,0.9670794633642931,2,10
Logistic Regression,0.67,0.9411764705882353,0.9929824561403509,0.9876543209876543,0.963855421686747,0.9670794633642931,2,10
Logistic Regression,0.68,0.9352941176470588,0.9929824561403509,0.9875776397515528,0.9607250755287009,0.9641382868937048,2,11
Logistic Regression,0.69,0.9352941176470588,0.9964912280701754,0.99375,0.9636363636363636,0.9658926728586171,1,11
Logistic Regression,0.7,0.9352941176470588,0.9964912280701754,0.99375,0.9636363636363636,0.9658926728586171,1,11
Logistic Regression,0.71,0.9352941176470588,0.9964912280701754,0.99375,0.9636363636363636,0.9658926728586171,1,11
Logistic Regression,0.72,0.9352941176470588,0.9964912280701754,0.99375,0.9636363636363636,0.9658926728586171,1,11
Logistic Regression,0.73,0.9294117647058824,1.0,1.0,0.9634146341463414,0.9647058823529412,0,12
Logistic Regression,0.74,0.9294117647058824,1.0,1.0,0.9634146341463414,0.9647058823529412,0,12
Logistic Regression,0.75,0.9235294117647059,1.0,1.0,0.9602446483180428,0.961764705882353,0,13
Logistic Regression,0.76,0.9235294117647059,1.0,1.0,0.9602446483180428,0.961764705882353,0,13
Logistic Regression,0.77,0.9235294117647059,1.0,1.0,0.9602446483180428,0.961764705882353,0,13
Logistic Regression,0.78,0.9235294117647059,1.0,1.0,0.9602446483180428,0.961764705882353,0,13
Logistic Regression,0.79,0.9176470588235294,1.0,1.0,0.9570552147239264,0.9588235294117646,0,14
Logistic Regression,0.8,0.9176470588235294,1.0,1.0,0.9570552147239264,0.9588235294117646,0,14
Logistic Regression,0.81,0.9176470588235294,1.0,1.0,0.9570552147239264,0.9588235294117646,0,14
Logistic Regression,0.82,0.9176470588235294,1.0,1.0,0.9570552147239264,0.9588235294117646,0,14
Logistic Regression,0.83,0.9176470588235294,1.0,1.0,0.9570552147239264,0.9588235294117646,0,14
Logistic Regression,0.84,0.9176470588235294,1.0,1.0,0.9570552147239264,0.9588235294117646,0,14
Logistic Regression,0.85,0.9117647058823529,1.0,1.0,0.9538461538461539,0.9558823529411764,0,15
Logistic Regression,0.86,0.9117647058823529,1.0,1.0,0.9538461538461539,0.9558823529411764,0,15
Logistic Regression,0.87,0.9117647058823529,1.0,1.0,0.9538461538461539,0.9558823529411764,0,15
Logistic Regression,0.88,0.9117647058823529,1.0,1.0,0.9538461538461539,0.9558823529411764,0,15
Logistic Regression,0.89,0.9117647058823529,1.0,1.0,0.9538461538461539,0.9558823529411764,0,15
Logistic Regression,0.9,0.9117647058823529,1.0,1.0,0.9538461538461539,0.9558823529411764,0,15
Logistic Regression,0.91,0.9,1.0,1.0,0.9473684210526315,0.95,0,17
Logistic Regression,0.92,0.888235294117647,1.0,1.0,0.940809968847352,0.9441176470588235,0,19
Logistic Regression,0.93,0.8764705882352941,1.0,1.0,0.9341692789968652,0.9382352941176471,0,21
Logistic Regression,0.94,0.8764705882352941,1.0,1.0,0.9341692789968652,0.9382352941176471,0,21
Logistic Regression,0.95,0.8588235294117647,1.0,1.0,0.9240506329113924,0.9294117647058824,0,24
