model,threshold,sensitivity,specificity,precision,f1,balanced_accuracy,fp,fn
Random Forest,0.44,0.9588235294117647,0.9649122807017544,0.9421965317919075,0.9504373177842566,0.9618679050567596,10,7
Random Forest,0.45,0.9588235294117647,0.9649122807017544,0.9421965317919075,0.9504373177842566,0.9618679050567596,10,7
Random Forest,0.46,0.9588235294117647,0.9649122807017544,0.9421965317919075,0.9504373177842566,0.9618679050567596,10,7
Random Forest,0.47,0.9529411764705882,0.9649122807017544,0.9418604651162791,0.9473684210526315,0.9589267285861713,10,8
Random Forest,0.48,0.9470588235294117,0.9649122807017544,0.9415204678362573,0.9442815249266863,0.9559855521155831,10,9
Random Forest,0.49,0.9411764705882353,0.9649122807017544,0.9411764705882353,0.9411764705882353,0.9530443756449949,10,10
Random Forest,0.5,0.9411764705882353,0.9649122807017544,0.9411764705882353,0.9411764705882353,0.9530443756449949,10,10
Random Forest,0.51,0.9411764705882353,0.9649122807017544,0.9411764705882353,0.9411764705882353,0.9530443756449949,10,10
Random Forest,0.52,0.9411764705882353,0.9649122807017544,0.9411764705882353,0.9411764705882353,0.9530443756449949,10,10
Random Forest,0.53,0.9352941176470588,0.9649122807017544,0.9408284023668639,0.9380530973451328,0.9501031991744067,10,11
Random Forest,0.54,0.9352941176470588,0.9649122807017544,0.9408284023668639,0.9380530973451328,0.9501031991744067,10,11
Random Forest,0.55,0.9352941176470588,0.968421052631579,0.9464285714285714,0.9408284023668639,0.951857585139319,9,11
Random Forest,0.56,0.9352941176470588,0.9719298245614035,0.9520958083832335,0.9436201780415431,0.9536119711042312,8,11
Random Forest,0.57,0.9294117647058824,0.9719298245614035,0.9518072289156626,0.9404761904761905,0.950670794633643,8,12
Random Forest,0.58,0.9294117647058824,0.9754385964912281,0.9575757575757575,0.9432835820895522,0.9524251805985553,7,12
Random Forest,0.59,0.9294117647058824,0.9754385964912281,0.9575757575757575,0.9432835820895522,0.9524251805985553,7,12
Random Forest,0.6,0.9294117647058824,0.9789473684210527,0.9634146341463414,0.9461077844311377,0.9541795665634676,6,12
Random Forest,0.61,0.9294117647058824,0.9789473684210527,0.9634146341463414,0.9461077844311377,0.9541795665634676,6,12
