sample_index,outcome,Feature,SHAP,AbsSHAP,Rank
325,TN,mean compactness,0.24055279139656524,0.24055279139656524,16
325,TN,texture error,0.21566605572854014,0.21566605572854014,17
325,TN,mean texture,-0.2095938943728261,0.2095938943728261,18
325,TN,mean area,-0.20470478180363275,0.20470478180363275,19
325,TN,mean smoothness,0.1834700929709656,0.1834700929709656,20
325,TN,mean perimeter,-0.1480038528481997,0.1480038528481997,21
325,TN,mean radius,-0.14287627922427248,0.14287627922427248,22
325,TN,worst compactness,0.1359233864458397,0.1359233864458397,23
325,TN,worst smoothness,0.09476338314922618,0.09476338314922618,24
325,TN,mean symmetry,0.08876595876205418,0.08876595876205418,25
325,TN,concavity error,0.0880179991612397,0.0880179991612397,26
325,TN,worst fractal dimension,-0.051715754323425414,0.051715754323425414,27
325,TN,smoothness error,-0.03929871448037463,0.03929871448037463,28
325,TN,mean fractal dimension,0.01800581857474329,0.01800581857474329,29
325,TN,symmetry error,0.0006860760119491231,0.0006860760119491231,30
455,FP,worst texture,3.7850168889171294,3.7850168889171294,1
455,FP,worst symmetry,-1.2363533875519888,1.2363533875519888,2
455,FP,mean texture,1.1719139948625998,1.1719139948625998,3
455,FP,worst concavity,-0.8992886754433682,0.8992886754433682,4
455,FP,compactness error,0.6854107064992054,0.6854107064992054,5
455,FP,mean concavity,-0.5879386624272003,0.5879386624272003,6
455,FP,texture error,-0.4397832669769565,0.4397832669769565,7
455,FP,worst concave points,-0.4203524817730855,0.4203524817730855,8
455,FP,radius error,-0.4177677245054564,0.4177677245054564,9
455,FP,mean concave points,-0.3984001900562268,0.3984001900562268,10
455,FP,worst area,-0.33130874748209205,0.33130874748209205,11
455,FP,mean symmetry,0.3306032992265376,0.3306032992265376,12
455,FP,area error,-0.31730738577688195,0.31730738577688195,13
455,FP,concave points error,-0.2828706464850904,0.2828706464850904,14
455,FP,worst radius,-0.27465698610569117,0.27465698610569117,15
455,FP,perimeter error,-0.2712102234326971,0.2712102234326971,16
455,FP,mean compactness,0.2639429258718163,0.2639429258718163,17
455,FP,worst perimeter,-0.25299784414431276,0.25299784414431276,18
455,FP,symmetry error,0.22617639193925088,0.22617639193925088,19
455,FP,worst smoothness,-0.2193661041015473,0.2193661041015473,20
455,FP,fractal dimension error,0.20736458260737212,0.20736458260737212,21
455,FP,mean area,-0.13006786262741568,0.13006786262741568,22
455,FP,smoothness error,-0.11429951418267277,0.11429951418267277,23
455,FP,worst compactness,0.11366495744344172,0.11366495744344172,24
455,FP,concavity error,0.11046859659975593,0.11046859659975593,25
455,FP,mean perimeter,-0.08356242611002045,0.08356242611002045,26
455,FP,mean radius,-0.08008712457631904,0.08008712457631904,27
455,FP,mean smoothness,-0.07926830012329968,0.07926830012329968,28
455,FP,worst fractal dimension,-0.024566656405595327,0.024566656405595327,29
455,FP,mean fractal dimension,0.015911357671828764,0.015911357671828764,30
73,FN,worst texture,-1.2188759501607291,1.2188759501607291,1
73,FN,radius error,-0.6977976850191251,0.6977976850191251,2
73,FN,worst symmetry,-0.5626427050767986,0.5626427050767986,3
73,FN,texture error,0.4378522668151491,0.4378522668151491,4
73,FN,area error,-0.4244003341908789,0.4244003341908789,5
73,FN,perimeter error,-0.3904552753716618,0.3904552753716618,6
73,FN,symmetry error,0.3835164906795994,0.3835164906795994,7
73,FN,mean texture,-0.3650392679008063,0.3650392679008063,8
73,FN,concave points error,-0.27561514402508985,0.27561514402508985,9
73,FN,mean compactness,-0.26420237946431496,0.26420237946431496,10
73,FN,worst concave points,0.24952025024412494,0.24952025024412494,11
73,FN,compactness error,0.24209449560736337,0.24209449560736337,12
73,FN,smoothness error,-0.20138721962211814,0.20138721962211814,13
73,FN,fractal dimension error,0.1748524916426676,0.1748524916426676,14
73,FN,worst area,-0.16609525244969991,0.16609525244969991,15
73,FN,worst smoothness,0.13477044048776823,0.13477044048776823,16
73,FN,mean smoothness,0.13016085379241887,0.13016085379241887,17
73,FN,mean concavity,-0.12721077146735832,0.12721077146735832,18
73,FN,mean symmetry,0.1215451163551318,0.1215451163551318,19
73,FN,worst compactness,-0.11222082204979332,0.11222082204979332,20
73,FN,mean area,-0.10023527531923983,0.10023527531923983,21
73,FN,concavity error,0.06998707480830361,0.06998707480830361,22
73,FN,worst fractal dimension,0.06598783156683663,0.06598783156683663,23
73,FN,mean radius,-0.042944244362036775,0.042944244362036775,24
73,FN,mean concave points,0.03864549204270473,0.03864549204270473,25
73,FN,mean perimeter,-0.031781397552230035,0.031781397552230035,26
73,FN,worst perimeter,0.03009848561019648,0.03009848561019648,27
73,FN,worst concavity,0.02092429813682857,0.02092429813682857,28
73,FN,mean fractal dimension,-0.020087189097014558,0.020087189097014558,29
73,FN,worst radius,0.004566778144245722,0.004566778144245722,30
190,FN,compactness error,-5.96920406359152,5.96920406359152,1
190,FN,worst symmetry,3.855047953291047,3.855047953291047,2
190,FN,worst texture,2.716715911706772,2.716715911706772,3
190,FN,worst concavity,2.5482230262694805,2.5482230262694805,4
190,FN,fractal dimension error,-1.7512086213698248,1.7512086213698248,5
190,FN,symmetry error,-1.3970794523325418,1.3970794523325418,6
