threshold,sensitivity,specificity,accuracy,precision,f1,tp,fp,tn,fn
0.3,1.0,0.0,0.4177545691906005,0.4177545691906005,0.5893186003683242,160,223,0,0
0.31,1.0,0.004484304932735426,0.42036553524804177,0.418848167539267,0.5904059040590406,160,222,1,0
0.32,1.0,0.004484304932735426,0.42036553524804177,0.418848167539267,0.5904059040590406,160,222,1,0
0.33,1.0,0.004484304932735426,0.42036553524804177,0.418848167539267,0.5904059040590406,160,222,1,0
0.34,1.0,0.008968609865470852,0.42297650130548303,0.4199475065616798,0.5914972273567468,160,221,2,0
0.35000000000000003,1.0,0.013452914798206279,0.4255874673629243,0.42105263157894735,0.5925925925925926,160,220,3,0
0.36,1.0,0.017937219730941704,0.4281984334203655,0.42216358839050133,0.5936920222634509,160,219,4,0
0.37,1.0,0.02242152466367713,0.4308093994778068,0.42328042328042326,0.5947955390334573,160,218,5,0
0.38,0.96875,0.07174887892376682,0.4464751958224543,0.4281767955801105,0.5938697318007663,155,207,16,5
0.39,0.9625,0.12556053811659193,0.4751958224543081,0.44126074498567336,0.6051080550098232,154,195,28,6
0.4,0.94375,0.15246636771300448,0.4830287206266319,0.4441176470588235,0.604,151,189,34,9
0.41000000000000003,0.93125,0.17040358744394618,0.48825065274151436,0.44610778443113774,0.6032388663967612,149,185,38,11
0.42,0.90625,0.18834080717488788,0.48825065274151436,0.4447852760736196,0.5967078189300411,145,181,42,15
0.43,0.9,0.2062780269058296,0.4960835509138381,0.4485981308411215,0.5987525987525988,144,177,46,16
0.44,0.875,0.22869955156950672,0.49869451697127937,0.44871794871794873,0.5932203389830508,140,172,51,20
0.45,0.84375,0.23318385650224216,0.48825065274151436,0.4411764705882353,0.5793991416309013,135,171,52,25
0.46,0.825,0.24663677130044842,0.48825065274151436,0.44,0.5739130434782609,132,168,55,28
0.47000000000000003,0.8125,0.2825112107623318,0.5039164490861618,0.4482758620689655,0.5777777777777777,130,160,63,30
0.48,0.7625,0.30493273542600896,0.4960835509138381,0.4404332129963899,0.5583524027459954,122,155,68,38
0.49,0.71875,0.34080717488789236,0.49869451697127937,0.4389312977099237,0.5450236966824644,115,147,76,45
0.5,0.70625,0.3721973094170404,0.5117493472584856,0.44664031620553357,0.5472154963680388,113,140,83,47
0.51,0.6875,0.3901345291479821,0.5143603133159269,0.44715447154471544,0.541871921182266,110,136,87,50
0.52,0.6375,0.4170403587443946,0.5091383812010444,0.4396551724137931,0.5204081632653061,102,130,93,58
0.53,0.625,0.4439461883408072,0.5195822454308094,0.44642857142857145,0.5208333333333334,100,124,99,60
0.54,0.58125,0.47085201793721976,0.5169712793733682,0.44075829383886256,0.5013477088948787,93,118,105,67
0.55,0.55625,0.5022421524663677,0.5248041775456919,0.445,0.49444444444444446,89,111,112,71
0.56,0.5,0.547085201793722,0.5274151436031331,0.4419889502762431,0.46920821114369504,80,101,122,80
0.5700000000000001,0.3125,0.7892376681614349,0.5900783289817232,0.5154639175257731,0.38910505836575876,50,47,176,110
0.58,0.18125,0.8923766816143498,0.5953002610966057,0.5471698113207547,0.27230046948356806,29,24,199,131
0.59,0.09375,0.9327354260089686,0.5822454308093995,0.5,0.15789473684210525,15,15,208,145
0.6,0.075,0.9506726457399103,0.5848563968668408,0.5217391304347826,0.13114754098360656,12,11,212,148
0.61,0.06875,0.9596412556053812,0.587467362924282,0.55,0.12222222222222222,11,9,214,149
0.62,0.05,0.9596412556053812,0.5796344647519582,0.47058823529411764,0.0903954802259887,8,9,214,152
0.63,0.05,0.9596412556053812,0.5796344647519582,0.47058823529411764,0.0903954802259887,8,9,214,152
0.64,0.0375,0.9775784753363229,0.5848563968668408,0.5454545454545454,0.07017543859649122,6,5,218,154
0.65,0.025,0.9820627802690582,0.5822454308093995,0.5,0.047619047619047616,4,4,219,156
0.66,0.025,0.9865470852017937,0.5848563968668408,0.5714285714285714,0.04790419161676647,4,3,220,156
0.67,0.025,0.9910313901345291,0.587467362924282,0.6666666666666666,0.04819277108433735,4,2,221,156
0.68,0.01875,0.9910313901345291,0.5848563968668408,0.6,0.03636363636363636,3,2,221,157
0.6900000000000001,0.0125,0.9955156950672646,0.5848563968668408,0.6666666666666666,0.024539877300613498,2,1,222,158
0.7000000000000001,0.00625,0.9955156950672646,0.5822454308093995,0.5,0.012345679012345678,1,1,222,159
0.71,0.0,0.9955156950672646,0.5796344647519582,0.0,0.0,0,1,222,160
0.72,0.0,1.0,0.5822454308093995,0.0,0.0,0,0,223,160
0.73,0.0,1.0,0.5822454308093995,0.0,0.0,0,0,223,160
0.74,0.0,1.0,0.5822454308093995,0.0,0.0,0,0,223,160
0.75,0.0,1.0,0.5822454308093995,0.0,0.0,0,0,223,160
